symbol	psymbol	NM	ENSG
LRGUK	LRGUK	NM_144648	ENSG00000155530
LRIF1	C1orf103	NM_018372	ENSG00000121931
LRIG1	LRIG1	NM_015541	ENSG00000144749
LRIG2	LRIG2	NM_014813	ENSG00000198799
LRIG3	LRIG3	NM_153377	ENSG00000139263
LRIT1	LRRC21	NM_015613	ENSG00000148602
LRIT2	LRRC22	NM_001284223	ENSG00000204033
LRIT3	LRIT3	NM_198506	ENSG00000183423
LRMDA	C10orf11	NM_032024	ENSG00000148655
LRMP	LRMP	NM_006152	ENSG00000118308
LRP1	APR	NM_002332	ENSG00000123384
LRP1	A2MR	NM_002332	ENSG00000123384
LRP1	IGFBP3R1	NM_002332	ENSG00000123384
LRP1	IGFBP_3R	NM_002332	ENSG00000123384
LRP1B	LRP1B	NM_018557	ENSG00000168702
LRP2	LRP2	NM_004525	ENSG00000081479
LRP2BP	LRP2BP	NM_018409	ENSG00000109771
LRP4	LRP4	NM_002334	ENSG00000134569
LRP5	LRP7	NM_002335	ENSG00000162337
LRP5	OPPG	NM_002335	ENSG00000162337
LRP5	EVR1	NM_002335	ENSG00000162337
LRP5L	LRP5L	NM_182492	ENSG00000100068
LRP8	LRP8	NM_004631	ENSG00000157193
LRP11	LRP11	NM_032832	ENSG00000120256
LRP12	LRP12	NM_013437	ENSG00000147650
LRPPRC	LSFC	NM_133259	ENSG00000138095
LRR1	PPIL5	NM_203467	ENSG00000165501
LRRC1	LRRC1	NM_025168	ENSG00000137269
LRRC3B	LRRC3B	NM_052953	ENSG00000179796
LRRC4	LRRC4	NM_022143	ENSG00000128594
LRRC4B	LRIG4	NM_001080457	ENSG00000131409
LRRC6	LRRC6	NM_012472	ENSG00000129295
LRRC7	LRRC7	NM_020794	ENSG00000033122
LRRC8A	LRRC8	NM_019594	ENSG00000136802
LRRC8B	LRRC8B	NM_015350	ENSG00000197147
LRRC8C	LRRC8C	NM_032270	ENSG00000171488
LRRC8D	LRRC5	NM_018103	ENSG00000171492
LRRC9	LRRC9	NM_001355272	ENSG00000131951
LRRC10	LRRC10	NM_201550	ENSG00000198812
LRRC10B	LRRC10B	NM_001145077	ENSG00000204950
LRRC14	LRRC14	NM_014665	ENSG00000160959
LRRC14B	LRRC14B	NM_001080478	ENSG00000185028
LRRC17	LRRC17	NM_005824	ENSG00000128606
LRRC18	LRRC18	NM_001006939	ENSG00000165383
LRRC19	LRRC19	NM_022901	ENSG00000184434
LRRC20	LRRC20	NM_018239	ENSG00000172731
LRRC23	LRRC23	NM_006992	ENSG00000010626
LRRC24	LRRC24	NM_001024678	ENSG00000254402
LRRC25	LRRC25	NM_145256	ENSG00000175489
LRRC26	LRRC26	NM_001013653	ENSG00000184709
LRRC27	LRRC27	NM_030626	ENSG00000148814
LRRC28	LRRC28	NM_144598	ENSG00000168904
LRRC29	FBXL9	NM_012163	ENSG00000125122
LRRC31	LRRC31	NM_024727	ENSG00000114248
LRRC32	D11S833E	NM_005512	ENSG00000137507
LRRC32	GARP	NM_005512	ENSG00000137507
LRRC34	LRRC34	NM_153353	ENSG00000171757
LRRC37A	LRRC37A	NM_014834	ENSG00000176681
LRRC37A2	LRRC37A2	NM_001006607	ENSG00000238083
LRRC37A3	LRRC37A3	NM_199340	ENSG00000176809
LRRC37B	LRRC37B	NM_052888	ENSG00000185158
LRRC39	LRRC39	NM_144620	ENSG00000122477
LRRC40	LRRC40	NM_017768	ENSG00000066557
LRRC41	LRRC41	NM_006369	ENSG00000132128
LRRC42	LRRC42	NM_052940	ENSG00000116212
LRRC43	LRRC43	NM_152759	ENSG00000158113
LRRC47	LRRC47	NM_020710	ENSG00000130764
LRRC52	LRRC52	NM_001005214	ENSG00000162763
LRRC55	LRRC55	NM_001005210	ENSG00000183908
LRRC56	LRRC56	NM_198075	ENSG00000161328
LRRC57	LRRC57	NM_153260	ENSG00000180979
LRRC58	LRRC58	NM_001099678	ENSG00000163428
LRRC59	LRRC59	NM_018509	ENSG00000108829
LRRC61	LRRC61	NM_023942	ENSG00000127399
LRRC63	LRRC63	NM_001282460	ENSG00000173988
LRRC66	LRRC66	NM_001024611	ENSG00000188993
LRRC69	LRRC69	NM_001129890	ENSG00000214954
LRRC71	C1orf92	NM_144702	ENSG00000160838
LRRC73	C6orf154	NM_001012974	ENSG00000204052
LRRC74A	C14orf166B	NM_194287	ENSG00000100565
LRRC74A	LRRC74	NM_194287	ENSG00000100565
LRRC75A	C17orf76	NM_207387	ENSG00000181350
LRRC75A	FAM211A	NM_207387	ENSG00000181350
LRRC75B	C22orf36	NM_207644	ENSG00000178026
LRRC75B	FAM211B	NM_207644	ENSG00000178026
LRRCC1	LRRCC1	NM_033402	ENSG00000133739
LRRD1	LRRD1	NM_001045475	ENSG00000240720
LRRFIP1	LRRFIP1	NM_004735	ENSG00000124831
LRRFIP2	LRRFIP2	NM_006309	ENSG00000093167
LRRIQ1	LRRIQ1	NM_032165	ENSG00000133640
LRRIQ3	LRRC44	NM_145258	ENSG00000162620
LRRIQ4	LRRIQ4	NM_001080460	ENSG00000188306
LRRK1	LRRK1	NM_024652	ENSG00000154237
LRRK2	PARK8	NM_198578	ENSG00000188906
LRRN1	LRRN1	NM_020873	ENSG00000175928
LRRN2	LRRN5	NM_006338	ENSG00000170382
LRRN3	LRRN3	NM_018334	ENSG00000173114
LRRN4	C20orf75	NM_152611	ENSG00000125872
LRRTM1	LRRTM1	NM_178839	ENSG00000162951
LRRTM3	LRRTM3	NM_178011	ENSG00000198739
LRRTM4	LRRTM4	NM_024993	ENSG00000176204
LRSAM1	LRSAM1	NM_138361	ENSG00000148356
LRTM1	LRTM1	NM_020678	ENSG00000144771
LRTOMT	LRRC51	NM_145309	ENSG00000184154
LRTOMT	DFNB63	NM_145309	ENSG00000184154
LRWD1	LRWD1	NM_152892	ENSG00000161036
LSAMP	LSAMP	NM_002338	ENSG00000185565
LSG1	LSG1	NM_018385	ENSG00000041802
LSM1	LSM1	NM_014462	ENSG00000175324
LSM2	C6orf28	NM_021177	ENSG00000204392
LSM3	LSM3	NM_014463	ENSG00000170860
LSM6	LSM6	NM_007080	ENSG00000164167
LSM7	LSM7	NM_016199	ENSG00000130332
LSM10	LSM10	NM_032881	ENSG00000181817
LSM11	LSM11	NM_173491	ENSG00000155858
LSM12	LSM12	NM_152344	ENSG00000161654
LSM14A	C19orf13	NM_015578	ENSG00000257103
LSM14A	FAM61A	NM_015578	ENSG00000257103
LSM14B	C20orf40	NM_144703	ENSG00000149657
LSM14B	FAM61B	NM_144703	ENSG00000149657
LSMEM1	C7orf53	NM_182597	ENSG00000181016
LSMEM2	C3orf45	NM_153215	ENSG00000179564
LSP1	LSP1	NM_002339	ENSG00000130592
LSR	LSR	NM_015925	ENSG00000105699
LTA4H	LTA4H	NM_000895	ENSG00000111144
LTBP1	LTBP1	NM_206943	ENSG00000049323
LTBP2	LTBP2	NM_000428	ENSG00000119681
LTBP2	C14orf141	NM_000428	ENSG00000119681
LTBP3	LTBP3	NM_021070	ENSG00000168056
LTC4S	LTC4S	NM_000897	ENSG00000213316
LTF	LTF	NM_002343	ENSG00000012223
LTN1	C21orf98	NM_015565	ENSG00000198862
LTN1	C21orf10	NM_015565	ENSG00000198862
LTN1	ZNF294	NM_015565	ENSG00000198862
LTN1	RNF160	NM_015565	ENSG00000198862
LTO1	ORAOV1	NM_153451	ENSG00000149716
LTV1	C6orf93	NM_032860	ENSG00000135521
LUC7L	LUC7L	NM_201412	ENSG00000007392
LUC7L2	LUC7L2	NM_016019	ENSG00000146963
LUC7L3	LUC7L3	NM_016424	ENSG00000108848
LUM	LDC	NM_002345	ENSG00000139329
LURAP1	C1orf190	NM_001013615	ENSG00000171357
LURAP1L	C9orf150	NM_203403	ENSG00000153714
LUZP1	LUZP1	NM_033631	ENSG00000169641
LUZP2	LUZP2	NM_001009909	ENSG00000187398
LUZP4	LUZP4	NM_016383	ENSG00000102021
LVRN	LVRN	NM_173800	ENSG00000172901
LXN	LXN	NM_020169	ENSG00000079257
LY6D	LY6D	NM_003695	ENSG00000167656
LY6E	LY6E	NM_001127213	ENSG00000160932
LY6G6F	LY6G6D	NM_001003693	ENSG00000204424
LY6G6F	C6orf21	NM_001003693	ENSG00000204424
LY6K	LY6K	NM_017527	ENSG00000160886
LY9	LY9	NM_002348	ENSG00000122224
LY96	LY96	NM_015364	ENSG00000154589
LYAR	LYAR	NM_017816	ENSG00000145220
LYG1	LYG1	NM_174898	ENSG00000144214
LYG2	LYG2	NM_175735	ENSG00000185674
LYL1	LYL1	NM_005583	ENSG00000104903
LYN	LYN	NM_002350	ENSG00000254087
LYNX1	LYNX1	NM_177476	ENSG00000180155
LYNX1_SLURP2	LYNX1_SLURP2	NM_023946	ENSG00000284505
LYPD1	LYPDC1	NM_144586	ENSG00000150551
LYPD2	LYPDC2	NM_205545	ENSG00000197353
LYPD3	LYPD3	NM_014400	ENSG00000124466
LYPD4	LYPD4	NM_173506	ENSG00000273111
LYPD5	LYPD5	NM_182573	ENSG00000159871
LYPD6	LYPD6	NM_194317	ENSG00000187123
LYPD6B	LYPD6B	NM_177964	ENSG00000150556
LYPD8	LYPD8	NM_001085474	ENSG00000259823
LYPLAL1	LYPLAL1	NM_138794	ENSG00000143353
LYRM1	LYRM1	NM_020424	ENSG00000102897
LYRM2	LYRM2	NM_020466	ENSG00000083099
LYRM4	C6orf149	NM_020408	ENSG00000214113
LYRM7	C5orf31	NM_181705	ENSG00000186687
LYRM9	C17orf108	NM_001076680	ENSG00000232859
LYSMD1	LYSMD1	NM_212551	ENSG00000163155
LYSMD2	LYSMD2	NM_153374	ENSG00000140280
LYSMD3	LYSMD3	NM_198273	ENSG00000176018
LYSMD4	LYSMD4	NM_152449	ENSG00000183060
LYVE1	XLKD1	NM_016164	ENSG00000133800
LYZ	LYZ	NM_000239	ENSG00000090382
LYZL1	LYZL1	NM_032517	ENSG00000120563
LYZL2	LYZL2	NM_183058	ENSG00000151033
LYZL4	LYZL4	NM_144634	ENSG00000157093
LYZL6	LYZL6	NM_020426	ENSG00000275722
LZIC	LZIC	NM_032368	ENSG00000162441
LZTFL1	LZTFL1	NM_020347	ENSG00000163818
LZTR1	LZTR1	NM_006767	ENSG00000099949
LZTS1	LZTS1	NM_021020	ENSG00000061337
LZTS2	LZTS2	NM_032429	ENSG00000107816
LZTS3	LZTS3	NM_014731	ENSG00000088899
M1AP	C2orf65	NM_138804	ENSG00000159374
MAATS1	C3orf15	NM_033364	ENSG00000183833
MAB21L1	MAB21L1	NM_005584	ENSG00000180660
MAB21L2	MAB21L2	NM_006439	ENSG00000181541
MAB21L3	C1orf161	NM_152367	ENSG00000173212
MAB21L4	C2orf54	NM_024861	ENSG00000172478
MAB21L4	C2orf54	NM_001085437	ENSG00000172478
MACC1	MACC1	NM_182762	ENSG00000183742
MACF1	MACF1	NM_033044	ENSG00000127603
MACO1	TMEM57	NM_018202	ENSG00000204178
MACROD1	MACROD1	NM_014067	ENSG00000133315
MACROD2	C20orf133	NM_080676	ENSG00000172264
MAD1L1	MAD1L1	NM_003550	ENSG00000002822
MAD2L1BP	MAD2L1BP	NM_014628	ENSG00000124688
MAD2L2	MAD2L2	NM_006341	ENSG00000116670
MADCAM1	MADCAM1	NM_130760	ENSG00000099866
MAEA	MAEA	NM_005882	ENSG00000090316
MAEL	MAEL	NM_032858	ENSG00000143194
MAF1	MAF1	NM_032272	ENSG00000179632
MAFA	MAFA	NM_201589	ENSG00000182759
MAFF	MAFF	NM_001161572	ENSG00000185022
MAFG	MAFG	NM_002359	ENSG00000197063
MAFK	MAFK	NM_002360	ENSG00000198517
MAG	GMA	NM_080600	ENSG00000105695
MAGEA1	MAGE1	NM_004988	ENSG00000198681
MAGEA2	MAGE2	NM_005361	ENSG00000268606
MAGEA2B	MAGEA2B	NM_153488	ENSG00000183305
MAGEA3	MAGE3	NM_005362	ENSG00000221867
MAGEA4	MAGE4	NM_002362	ENSG00000147381
MAGEA5	MAGE5	NM_021049	ENSG00000242520
MAGEA6	MAGE6	NM_005363	ENSG00000197172
MAGEA8	MAGE8	NM_005364	ENSG00000156009
MAGEA9	MAGE9	NM_005365	ENSG00000123584
MAGEA9B	MAGEA9B	NM_001080790	ENSG00000267978
MAGEA10	MAGE10	NM_021048	ENSG00000124260
MAGEA11	MAGE11	NM_005366	ENSG00000185247
MAGEA12	MAGE12	NM_005367	ENSG00000213401
MAGEB1	MAGEB1	NM_002363	ENSG00000214107
MAGEB2	MAGEB2	NM_002364	ENSG00000099399
MAGEB3	MAGEB3	NM_002365	ENSG00000198798
MAGEB4	MAGEB4	NM_002367	ENSG00000120289
MAGEB5	MAGEB5	NM_001271752	ENSG00000188408
MAGEB6	MAGEB6	NM_173523	ENSG00000176746
MAGEB10	MAGEB10	NM_182506	ENSG00000177689
MAGEB17	MAGEB17	NM_001277307	ENSG00000182798
MAGEB18	MAGEB18	NM_173699	ENSG00000176774
MAGEC1	MAGEC1	NM_005462	ENSG00000155495
MAGEC2	MAGEC2	NM_016249	ENSG00000046774
MAGEC3	MAGEC3	NM_138702	ENSG00000165509
MAGED1	MAGED1	NM_001005332	ENSG00000179222
MAGED2	MAGED2	NM_014599	ENSG00000102316
MAGED4	MAGED4	NM_001098800	ENSG00000154545
MAGEE1	MAGEE1	NM_020932	ENSG00000198934
MAGEE2	MAGEE2	NM_138703	ENSG00000186675
MAGEF1	MAGEF1	NM_022149	ENSG00000177383
MAGEH1	MAGEH1	NM_014061	ENSG00000187601
MAGEL2	NDNL1	NM_019066	ENSG00000254585
MAGI1	BAIAP1	NM_004742	ENSG00000151276
MAGI2	MAGI2	NM_012301	ENSG00000187391
MAGI3	MAGI3	NM_152900	ENSG00000081026
MAGIX	MAGIX	NM_024859	ENSG00000269313
MAGOH	MAGOH	NM_002370	ENSG00000162385
MAGOHB	MAGOHB	NM_018048	ENSG00000111196
MAGT1	MAGT1	NM_032121	ENSG00000102158
MAIP1	C2orf47	NM_024520	ENSG00000162972
MAJIN	C11orf85	NM_001037225	ENSG00000168070
MAK	MAK	NM_005906	ENSG00000111837
MAK16	RBM13	NM_032509	ENSG00000198042
MAL	MAL	NM_002371	ENSG00000172005
MAL2	MAL2	NM_052886	ENSG00000147676
MALL	MALL	NM_005434	ENSG00000144063
MALRD1	C10orf112	NM_001142308	ENSG00000204740
MALSU1	C7orf30	NM_138446	ENSG00000156928
MALT1	MLT	NM_006785	ENSG00000172175
MAMDC2	MAMDC2	NM_153267	ENSG00000165072
MAMDC4	MAMDC4	NM_206920	ENSG00000177943
MAML1	MAML1	NM_014757	ENSG00000161021
MAMLD1	CXorf6	NM_005491	ENSG00000013619
MAMSTR	MAMSTR	NM_182574	ENSG00000176909
MAN1A1	MAN1A1	NM_005907	ENSG00000111885
MAN1A2	MAN1A2	NM_006699	ENSG00000198162
MAN1B1	MAN1B1	NM_016219	ENSG00000177239
MAN1C1	MAN1C1	NM_020379	ENSG00000117643
MAN2A2	MAN2A2	NM_006122	ENSG00000196547
MAN2B2	MAN2B2	NM_015274	ENSG00000013288
MANBA	MANBA	NM_005908	ENSG00000109323
MANBAL	MANBAL	NM_022077	ENSG00000101363
MANEA	MANEA	NM_024641	ENSG00000172469
MANEAL	MANEAL	NM_152496	ENSG00000185090
MANF	ARMET	NM_006010	ENSG00000145050
MAOA	MAOA	NM_000240	ENSG00000189221
MAOB	MAOB	NM_000898	ENSG00000069535
MAP1A	MAP1L	NM_002373	ENSG00000166963
MAP1B	MAP1B	NM_005909	ENSG00000131711
MAP1LC3A	MAP1LC3A	NM_181509	ENSG00000101460
MAP1LC3B2	MAP1LC3B2	NM_001085481	ENSG00000258102
MAP1LC3C	MAP1LC3C	NM_001004343	ENSG00000197769
MAP2	MAP2	NM_001039538	ENSG00000078018
MAP2K3	PRKMK3	NM_145109	ENSG00000034152
MAP2K5	PRKMK5	NM_145162	ENSG00000137764
MAP2K6	PRKMK6	NM_002758	ENSG00000108984
MAP3K1	MEKK1	NM_005921	ENSG00000095015
MAP3K2	MEKK2	NM_006609	ENSG00000169967
MAP3K3	MEKK3	NM_002401	ENSG00000198909
MAP3K6	MAP3K6	NM_004672	ENSG00000142733
MAP3K7	TAK1	NM_145331	ENSG00000135341
MAP3K7CL	C21orf7	NM_020152	ENSG00000156265
MAP3K8	COT	NM_005204	ENSG00000107968
MAP3K8	ESTF	NM_005204	ENSG00000107968
MAP3K10	MLK2	NM_002446	ENSG00000130758
MAP3K12	ZPK	NM_006301	ENSG00000139625
MAP3K13	MAP3K13	NM_004721	ENSG00000073803
MAP3K14	MAP3K14	NM_003954	ENSG00000006062
MAP3K15	MAP3K15	NM_001001671	ENSG00000180815
MAP3K19	YSK4	NM_025052	ENSG00000176601
MAP3K20	MAP3K20	NM_016653	ENSG00000091436
MAP3K21	MAP3K21	NM_032435	ENSG00000143674
MAP4	MAP4	NM_002375	ENSG00000047849
MAP4K2	RAB8IP	NM_004579	ENSG00000168067
MAP4K3	RAB8IPL1	NM_003618	ENSG00000011566
MAP4K4	MAP4K4	NM_004834	ENSG00000071054
MAP4K5	MAP4K5	NM_006575	ENSG00000012983
MAP6	MAP6	NM_033063	ENSG00000171533
MAP6D1	MAP6D1	NM_024871	ENSG00000180834
MAP7	MAP7	NM_003980	ENSG00000135525
MAP7D1	PARCC1	NM_018067	ENSG00000116871
MAP7D1	RPRC1	NM_018067	ENSG00000116871
MAP7D2	MAP7D2	NM_152780	ENSG00000184368
MAP9	MAP9	NM_001039580	ENSG00000164114
MAP10	KIAA1383	NM_019090	ENSG00000212916
MAPK1IP1L	C14orf32	NM_144578	ENSG00000168175
MAPK4	PRKM4	NM_002747	ENSG00000141639
MAPK6	PRKM6	NM_002748	ENSG00000069956
MAPK7	PRKM7	NM_139033	ENSG00000166484
MAPK8IP1	PRKM8IP	NM_005456	ENSG00000121653
MAPK8IP2	PRKM8IPL	NM_012324	ENSG00000008735
MAPK8IP3	MAPK8IP3	NM_001040439	ENSG00000138834
MAPK12	SAPK3	NM_002969	ENSG00000188130
MAPK14	CSPB1	NM_001315	ENSG00000112062
MAPK14	CSBP1	NM_001315	ENSG00000112062
MAPK14	CSBP2	NM_001315	ENSG00000112062
MAPK15	MAPK15	NM_139021	ENSG00000181085
MAPKAPK2	MAPKAPK2	NM_004759	ENSG00000162889
MAPKAPK3	MAPKAPK3	NM_004635	ENSG00000114738
MAPKAPK5	MAPKAPK5	NM_139078	ENSG00000089022
MAPKBP1	MAPKBP1	NM_014994	ENSG00000137802
MAPRE1	MAPRE1	NM_012325	ENSG00000101367
MAPRE2	MAPRE2	NM_014268	ENSG00000166974
MAPRE3	MAPRE3	NM_012326	ENSG00000084764
MAPT	DDPAC	NM_016835	ENSG00000186868
MAPT	MAPTL	NM_016835	ENSG00000186868
MARC1	MOSC1	NM_022746	ENSG00000186205
MARC2	MOSC2	NM_017898	ENSG00000117791
MARCH1	MARCH1	NM_017923	ENSG00000145416
MARCH3	MARCH3	NM_178450	ENSG00000173926
MARCH4	MARCH4	NM_020814	ENSG00000144583
MARCH5	RNF153	NM_017824	ENSG00000198060
MARCH6	MARCH6	NM_005885	ENSG00000145495
MARCH7	AXOT	NM_022826	ENSG00000136536
MARCH8	MIR	NM_145021	ENSG00000165406
MARCH11	MARCH11	NM_001102562	ENSG00000183654
MARCKS	MACS	NM_002356	ENSG00000277443
MARCKSL1	MLP	NM_023009	ENSG00000175130
MARCO	MARCO	NM_006770	ENSG00000019169
MARF1	KIAA0430	NM_014647	ENSG00000166783
MARK2	EMK1	NM_017490	ENSG00000072518
MARK3	MARK3	NM_001128918	ENSG00000075413
MARK4	MARKL1	NM_031417	ENSG00000007047
MARS	MARS	NM_004990	ENSG00000166986
MARS2	MARS2	NM_138395	ENSG00000247626
MARVELD1	MRVLDC1	NM_031484	ENSG00000155254
MARVELD2	MRVLDC2	NM_144724	ENSG00000152939
MARVELD2	DFNB49	NM_144724	ENSG00000152939
MARVELD3	MRVLDC3	NM_052858	ENSG00000140832
MAS1	MAS1	NM_002377	ENSG00000130368
MAS1L	MAS1L	NM_052967	ENSG00000204687
MASP1	CRARF	NM_001879	ENSG00000127241
MASP1	PRSS5	NM_001879	ENSG00000127241
MASP2	MASP1P1	NM_006610	ENSG00000009724
MAST2	MAST2	NM_015112	ENSG00000086015
MAST3	MAST3	NM_015016	ENSG00000099308
MASTL	MASTL	NM_032844	ENSG00000120539
MAT1A	MAT1A	NM_000429	ENSG00000151224
MAT2A	MAT2A	NM_005911	ENSG00000168906
MAT2B	MAT2B	NM_013283	ENSG00000038274
MATK	MATK	NM_139355	ENSG00000007264
MATN1	CRTM	NM_002379	ENSG00000162510
MATN1	CMP	NM_002379	ENSG00000162510
MATN3	MATN3	NM_002381	ENSG00000132031
MATR3	MPD2	NM_018834	ENSG00000015479
MAU2	KIAA0892	NM_015329	ENSG00000129933
MAVS	MAVS	NM_020746	ENSG00000088888
MAX	MAX	NM_197957	ENSG00000125952
MAZ	MAZ	NM_002383	ENSG00000103495
MB	MB	NM_203377	ENSG00000198125
MB21D2	C3orf59	NM_178496	ENSG00000180611
MBD1	MBD1	NM_015846	ENSG00000141644
MBD2	MBD2	NM_003927	ENSG00000134046
MBD3L1	MBD3L	NM_145208	ENSG00000170948
MBD3L2	MBD3L2	NM_144614	ENSG00000230522
MBD3L3	MBD3L3	NM_001164425	ENSG00000182315
MBD3L4	MBD3L4	NM_001164419	ENSG00000205718
MBD3L5	MBD3L5	NM_001136507	ENSG00000237247
MBD4	MBD4	NM_003925	ENSG00000129071
MBIP	MBIP	NM_016586	ENSG00000151332
MBL2	MBL	NM_000242	ENSG00000165471
MBLAC1	MBLAC1	NM_203397	ENSG00000214309
MBLAC2	MBLAC2	NM_203406	ENSG00000176055
MBNL1	MBNL	NM_021038	ENSG00000152601
MBNL2	MBNL2	NM_144778	ENSG00000139793
MBNL3	MBNL3	NM_018388	ENSG00000076770
MBOAT2	OACT2	NM_138799	ENSG00000143797
MBOAT7	LENG4	NM_024298	ENSG00000125505
MBP	MBP	NM_001025081	ENSG00000197971
MBTPS1	MBTPS1	NM_003791	ENSG00000140943
MC1R	MC1R	NM_002386	ENSG00000258839
MC4R	MC4R	NM_005912	ENSG00000166603
MC5R	MC5R	NM_005913	ENSG00000176136
MCAT	MCAT	NM_173467	ENSG00000100294
MCC	MCC	NM_001085377	ENSG00000171444
MCCC1	MCCC1	NM_020166	ENSG00000078070
MCEE	MCEE	NM_032601	ENSG00000124370
MCEMP1	C19orf59	NM_174918	ENSG00000183019
MCF2	MCF2	NM_005369	ENSG00000101977
MCF2L2	MCF2L2	NM_015078	ENSG00000053524
MCFD2	MCFD2	NM_139279	ENSG00000180398
MCHR1	GPR24	NM_005297	ENSG00000128285
MCHR2	GPR145	NM_032503	ENSG00000152034
MCIDAS	MCIN	NM_001190787	ENSG00000234602
MCL1	MCL1	NM_021960	ENSG00000143384
MCM3AP	MCM3AP	NM_003906	ENSG00000160294
MCM4	CDC21	NM_005914	ENSG00000104738
MCM6	MCM6	NM_005915	ENSG00000076003
MCM8	C20orf154	NM_032485	ENSG00000125885
MCM9	MCMDC1	NM_153255	ENSG00000111877
MCM9	C6orf61	NM_153255	ENSG00000111877
MCM10	MCM10	NM_182751	ENSG00000065328
MCMBP	C10orf119	NM_024834	ENSG00000197771
MCMDC2	C8orf45	NM_173518	ENSG00000178460
MCOLN2	MCOLN2	NM_153259	ENSG00000153898
MCOLN3	MCOLN3	NM_018298	ENSG00000055732
MCPH1	MCPH1	NM_024596	ENSG00000147316
MCRIP1	FAM195B	NM_001093767	ENSG00000225663
MCRIP2	C16orf14	NM_138418	ENSG00000172366
MCRIP2	FAM195A	NM_138418	ENSG00000172366
MCTP1	MCTP1	NM_024717	ENSG00000175471
MCTS1	MCTS1	NM_014060	ENSG00000232119
MCU	C10orf42	NM_138357	ENSG00000156026
MCU	CCDC109A	NM_138357	ENSG00000156026
MCUB	CCDC109B	NM_017918	ENSG00000005059
MCUR1	C6orf79	NM_022102	ENSG00000050393
MCUR1	CCDC90A	NM_022102	ENSG00000050393
MDC1	MDC1	NM_014641	ENSG00000137337
MDFI	MDFI	NM_005586	ENSG00000112559
MDFIC	MDFIC	NM_199072	ENSG00000135272
MDGA2	MAMDC1	NM_182830	ENSG00000139915
MDH1	MDH1	NM_001316374	ENSG00000014641
MDH1B	MDH1B	NM_001039845	ENSG00000138400
MDH2	MDH2	NM_005918	ENSG00000146701
MDK	NEGF2	NM_001012334	ENSG00000110492
MDM2	MDM2	NM_006880	ENSG00000135679
MDM4	MDM4	NM_002393	ENSG00000198625
MDP1	MDP1	NM_138476	ENSG00000213920
ME2	ME2	NM_002396	ENSG00000082212
MEAF6	C1orf149	NM_022756	ENSG00000163875
MEAK7	KIAA1609	NM_020947	ENSG00000140950
MEAK7	TLDC1	NM_020947	ENSG00000140950
MECOM	MDS1	NM_005241	ENSG00000085276
MECOM	EVI1	NM_005241	ENSG00000085276
MECOM	MDS1	NM_004991	ENSG00000085276
MECOM	EVI1	NM_004991	ENSG00000085276
MECP2	RTT	NM_004992	ENSG00000169057
MECP2	MRX16	NM_004992	ENSG00000169057
MECP2	MRX79	NM_004992	ENSG00000169057
MECR	MECR	NM_016011	ENSG00000116353
MED1	TRIP2	NM_004774	ENSG00000125686
MED1	PPARGBP	NM_004774	ENSG00000125686
MED1	PPARBP	NM_004774	ENSG00000125686
MED4	VDRIP	NM_014166	ENSG00000136146
MED6	MED6	NM_005466	ENSG00000133997
MED7	CRSP9	NM_004270	ENSG00000155868
MED8	MED8	NM_052877	ENSG00000159479
MED9	MED9	NM_018019	ENSG00000141026
MED10	MED10	NM_032286	ENSG00000133398
MED12	TNRC11	NM_005120	ENSG00000184634
MED12	FGS1	NM_005120	ENSG00000184634
MED12L	MED12L	NM_053002	ENSG00000144893
MED13	THRAP1	NM_005121	ENSG00000108510
MED14	CXorf4	NM_004229	ENSG00000180182
MED14	CRSP2	NM_004229	ENSG00000180182
MED14OS	MED14_AS1	NM_001289773	ENSG00000234636
MED15	TNRC7	NM_015889	ENSG00000099917
MED15	PCQAP	NM_015889	ENSG00000099917
MED17	CRSP6	NM_004268	ENSG00000042429
MED18	MED18	NM_017638	ENSG00000130772
MED19	MED19	NM_153450	ENSG00000156603
MED20	TRFP	NM_004275	ENSG00000124641
MED22	SURF5	NM_133640	ENSG00000148297
MED24	THRAP4	NM_014815	ENSG00000008838
MED24	CRSP4	NM_014815	ENSG00000008838
MED27	CRSP8	NM_004269	ENSG00000160563
MED28	MED28	NM_025205	ENSG00000118579
MED30	THRAP6	NM_080651	ENSG00000164758
MED31	MED31	NM_016060	ENSG00000108590
MEDAG	C13orf33	NM_032849	ENSG00000102802
MEF2C	MEF2C	NM_002397	ENSG00000081189
MEF2D	MEF2D	NM_005920	ENSG00000116604
MEFV	MEF	NM_000243	ENSG00000103313
MEGF6	EGFL3	NM_001409	ENSG00000162591
MEGF8	EGFL4	NM_001410	ENSG00000105429
MEGF8	C19orf49	NM_001410	ENSG00000105429
MEGF9	EGFL5	NM_001080497	ENSG00000106780
MEGF10	MEGF10	NM_032446	ENSG00000145794
MEGF11	MEGF11	NM_032445	ENSG00000157890
MEI1	MEI1	NM_152513	ENSG00000167077
MEI4	MEI4	NM_001282136	ENSG00000269964
MEIG1	MEIG1	NM_001080836	ENSG00000197889
MEIOB	C16orf73	NM_152764	ENSG00000162039
MEIOC	C17orf104	NM_001145080	ENSG00000180336
MEIS1	MEIS1	NM_002398	ENSG00000143995
MEIS2	MEIS2	NM_170677	ENSG00000134138
MEIS3	MEIS3	NM_020160	ENSG00000105419
MELK	MELK	NM_014791	ENSG00000165304
MELTF	MFI2	NM_005929	ENSG00000163975
MEMO1	C2orf4	NM_015955	ENSG00000162959
